product_id,name,price,currency,brand,description,availability,url,thumbnail_image,gallery_images,Category
9641993765149,RAW AFRICAN LIP BALM COCONUT,66.0,EGP,Raw African,Home > عروض 2025 > شامبو مرطب للشعر من فافلين هولي هايدريشن 300 مل > Back to عروض 2025 > أوراق الأفوكادو الأفريقية الخام 250 جرام,sold out,https://aldawaaegy.com/ar/collections/2025-offers/products/raw-african-lip-balm-coconut,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/raw-african-lip-balm-coconut-3034851.png?v=1762439741,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/raw-african-lip-balm-coconut-3034851.png?v=1762439741,offers
9641993601309,RAW AFRICAN CURL AVOCADO LEAVE IN 250GM,292.0,EGP,Raw African,Home > عروض 2025 > مرطب الشفاه الخام الأفريقي بجوز الهند > Back to عروض 2025 > تيتيلو بلس بخاخ كيريستور لتساقط الشعر 150 مل,in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/raw-african-curl-avocado-leave-in-250gm,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/raw-african-curl-avocado-leave-in-250gm-9465344.png?v=1762437033,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/raw-african-curl-avocado-leave-in-250gm-9465344.png?v=1762437033,offers
9617036443933,TETTELLO PLUS HAIR LOSS KERESTORE SPRAY 150ML,350.0,EGP,Tettello,Home > عروض 2025 > أوراق الأفوكادو الأفريقية الخام 250 جرام > Back to عروض 2025 > كريم تيترا جلو للعناية الليلية بالوجه والرقبة 30 جرام,in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/tettello-plus-hair-loss-kerestore-spray-150ml,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/tettello-plus-hair-loss-kerestore-spray-150ml-3774302.png?v=1762436450,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/tettello-plus-hair-loss-kerestore-spray-150ml-3774302.png?v=1762436450,offers
9616997482781,TETRA GLOW NIGHTCARE FACE&NECK  30GM,335.0,EGP,TETRA GLOW,Home > عروض 2025 > تيتيلو بلس بخاخ كيريستور لتساقط الشعر 150 مل > Back to عروض 2025 > سيروم الرموش إكستريم من سيروبايب (رموش 10 مل),in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/tetra-glow-care-face-neck-30gm,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/tetra-glow-nightcare-faceneck-30gm-6952493.jpg?v=1763160623,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/tetra-glow-nightcare-faceneck-30gm-6952493.jpg?v=1763160623,offers
9608758067485,SEROPIPE EXTREME LASHES SERUM ( EYELASH 10 ML ),295.0,EGP,Seropipe,Home > عروض 2025 > كريم تيترا جلو للعناية الليلية بالوجه والرقبة 30 جرام > Back to عروض 2025 > أمبولات الشعر سيروبايب,in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/seropipe-extreme-lashes-serum-eyelash-10-ml,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/seropipe-extreme-lashes-serum-eyelash-10-ml-4438212.png?v=1762436678,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/seropipe-extreme-lashes-serum-eyelash-10-ml-4438212.png?v=1762436678,offers
9608757805341,SEROPIPE HAIR DROPPER 10 ML VIALS,455.0,EGP,Seropipe,Home > عروض 2025 > سيروم الرموش إكستريم من سيروبايب (رموش 10 مل) > Back to عروض 2025 > شان منظف نسائي 250 مل,in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/seropipe-hair-ampoules,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/seropipe-hair-dropper-10-ml-vials-8328522.png?v=1762437684,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/seropipe-hair-dropper-10-ml-vials-8328522.png?v=1762437684,offers
9608741028125,SHAAN FEMININE CLEANSER 250ML,160.0,EGP,Shaan,Home > عروض 2025 > أمبولات الشعر سيروبايب > Back to عروض 2025 > معطر الجسم إيفا ريد جلامور 240 مل,in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/shaan-feminine-cleanser-250ml,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/shaan-feminine-cleanser-250ml-1785515.png?v=1762437188,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/shaan-feminine-cleanser-250ml-1785515.png?v=1762437188,offers
9574049087773,EVA BODY SPLASH RED GLAMOUR 240ML,226.0,EGP,Eva,Home > عروض 2025 > شان منظف نسائي 250 مل > Back to عروض 2025 > معطر الجسم إيفا جولد سبيل 240 مل,in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/eva-red-glamour-body-splash-240-ml,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/eva-body-splash-red-glamour-240ml-3857315.webp?v=1762437546,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/eva-body-splash-red-glamour-240ml-3857315.webp?v=1762437546,offers
9574048858397,EVA BODY SPLASH GOLD SPELL 240ML,200.0,EGP,Eva,Home > عروض 2025 > معطر الجسم إيفا ريد جلامور 240 مل > Back to عروض 2025 > لوشن إيفا ريسيبي بجوز الهند 370 مل,in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/eva-gold-spell-body-splash-240ml,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/eva-body-splash-gold-spell-240ml-9659135.jpg?v=1762437219,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/eva-body-splash-gold-spell-240ml-9659135.jpg?v=1762437219,offers
9573252563229,EVA  RECIPE LOTION COCONUT 370ML,175.0,EGP,Eva,Home > عروض 2025 > معطر الجسم إيفا جولد سبيل 240 مل > Back to عروض 2025 > مناديل ستارفيل ميسيلار المائية 50,in stock,https://aldawaaegy.com/ar/collections/2025-offers/products/eva-recipe-lotion-coconut-370-ml,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/eva-recipe-lotion-coconut-370ml-8819526.webp?v=1762437311,https://cdn.shopify.com/s/files/1/0566/6779/9603/files/eva-recipe-lotion-coconut-370ml-8819526.webp?v=1762437311,offers
